index	arabish	class	words	tokens	pos	lem
98	netfarjou	arabizi	نتفرّجوا	نتفرّجوا	IV1P-IV-IVSUFF_SUBJ:P	تفرّج
99	fi	arabizi	في	في	PREP	في
100	Talfza	arabizi	تلفزة	تلفزة	NOUN-NSUFF_FEM_SG	تلفزة
101	.	arabizi	.	.	PUNC	punc
102	famma	arabizi	فمّة	فمّة	PSEUDO_VERB	فمّة
103	lo3ba	arabizi	لعبة	لعبة	NOUN-NSUFF_FEM_SG	لعبة
104	lbaizbal	arabizi	البايزبل	ال+بايزبل	DET+NOUN	بايزبل
105	fi8a	arabizi	فيها	في+ها	PREP+PRON_3FS	في
106	.	arabizi	.	.	PUNC	punc
107	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
108	men	arabizi	من	من	PREP	من
109	sbe7	arabizi	صباح	صباح	NOUN	صباح
110	lyoum	arabizi	اليوم	ال+يوم	[DET+NOUN]ADV	اليوم
111	.	arabizi	.	.	PUNC	punc
112	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
113	ma	arabizi	ما	ما	NEG_PART	ما
114	3maltch	arabizi	عملتش	عملت+ش	PV-PVSUFF_SUBJ:1S+NEG_PART	عمل
115	7ajz	arabizi	حجز	حجز	NOUN	حجز
116	.	arabizi	.	.	PUNC	punc
117	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
118	3andek	arabizi	عندك	عند+ك	PREP+PRON_2S	عند
119	haja	arabizi	حاجة	حاجة	NOUN-NSUFF_FEM_SG	حاجة
120	ma	arabizi	ما	ما	NEG_PART	ما
121	a6oul	arabizi	اطول	اطول	ADJ_COMP	طويل
122	chwayya	arabizi	شويّة	شويّة	ADV	شويّة
123	?	arabizi	؟	؟	PUNC	punc
124	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
125	9addech	arabizi	قدّاش	قدّاش	INTERROG_ADV	قدّاش
126	some	arabizi	سوم	سوم	NOUN	سوم
127	alfo9a3	arabizi	الفقاع	ال+فقاع	DET+NOUN	فقاع
128	lfarchek	arabizi	الفرشك	ال+فرشك	DET+ADJ	فرشك
129	?	arabizi	؟	؟	PUNC	punc
130	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
131	ey	arabizi	اي	اي	INTERJ	اي
132	,	arabizi	,	,	PUNC	punc
133	fi9ni	arabizi	فيقني	فيق+ني	CV2S-CV+CVSUFF_DO:1S	فاق
134	ba3ed	arabizi	بعد	بعد	ADV	بعد
135	tlatha	arabizi	تلاثة	ثلاثة	NOUN_NUM	عافة
136	sway3a	arabizi	سوايع	سوايع	NOUN	ساعة
137	,	arabizi	,	,	PUNC	punc
138	y3aychek	arabizi	يعيّشك	يعيّش+ك	[IV3MS-IV+PRON_2S]INTERJ	عيّش
139	.	arabizi	.	.	PUNC	punc
140	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
141	win	arabizi	وين	وين	INTERROG_PRON	وين
142	enajem	arabizi	نجّم	نجّم	IV1S-IV	نجّم
143	nwa99ef	arabizi	نوقّف	نوقّف	IV1S-IV	وقّف
144	karhebti	arabizi	كرهبتي	كرهبة+ي	NOUN-NSUFF_FEM_SG+POSS_PRON_1S	كرهبة
145	?	arabizi	؟	؟	PUNC	punc
146	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
147	re7la	arabizi	رحلة	رحلة	NOUN-NSUFF_FEM_SG	رحلة
148	hethi	arabizi	هاذي	هاذي	DEM_ADJ_3FS	هاذا
149	fi8a	arabizi	فيها	في+ها	PREP+PRON_3FS	في
150	mechiya	arabizi	ماشية	ماشية	ADJ-NSUFF_FEM_SG	ماشي
151	lsirs	arabizi	لسيرس	ل+سيرس	PREP+NOUN_PROP	سيرس
152	tour	arabizi	تور	تور	NOUN_PROP	تور
153	?	arabizi	؟	؟	PUNC	punc
154	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
155	wa9tech	arabizi	وقتاش	وقتاش	INTERROG_PRON	وقتاش
156	lézémni	arabizi	لازمني	لازم+ني	PART+PRON_1S	لزم
157	nji	arabizi	نجي	نجي	IV1S-IV	جا
158	lel	arabizi	لل	ل+ال	PREP+DET	ل
159	matare	arabizi	مطار	مطار	NOUN	مطار
160	?	arabizi	؟	؟	PUNC	punc
161	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
162	tfathl	arabizi	تفضّل	تفضّل	[IV2S-IV]INTERJ	فضّل
163	.	arabizi	.	.	PUNC	punc
164	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
165	eb9adech	arabizi	بقدّاش	ب+قدّاش	PREP+INTERROG_ADV	قدّاش
166	tiskra	arabizi	تسكرة	تسكرة	NOUN-NSUFF_FEM_SG	تسكرة
167	limanchister	arabizi	لمانشستر	ل+مانشستر	PREP+NOUN_PROP	مانشستر
168	?	arabizi	؟	؟	PUNC	punc
169	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
170	na7nou	arabizi	نحن	نحن	PRON_1P	هو
171	3la	arabizi	على	على	PREP	على
172	ertfa3a	arabizi	ارتفاع	ارتفاع	NOUN	ارتفاع
173	alfin	arabizi	الفين	الفين	NOUN_NUM	الف
174	warb3a	arabizi	واربعة	و+اربعة	CONJ+NOUN_NUM	اربعة
175	miyet	arabizi	ميات	ميات	NOUN_NUM	مية
176	mitrou	arabizi	ميترو	ميترو	NOUN	ميترو
177	.	arabizi	.	.	PUNC	punc
178	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
179	a3tini	arabizi	اعطيني	اعطي+ني	CV2S-CV+CVSUFF_IO:1S	عطى
180	bila	arabizi	بيلة	بيلة	NOUN-NSUFF_FEM_SG	بيلة
181	.	arabizi	.	.	PUNC	punc
182	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
183	ta7foun	arabizi	تحفون	تحفون	ADJ	تحفون
184	.	arabizi	.	.	PUNC	punc
185	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
186	leyemet	arabizi	لايامات	ل+ايامات	PREP+NOUN-NSUFF_FEM_PL	يوم
187	hedhom	arabizi	هاذوم	هاذم	DEM_PRON_3P	هاذا
188	,	arabizi	,	,	PUNC	punc
189	nesta3mal	arabizi	نستعمل	نستعمل	IV1S-IV	ستعمل
190	dima	arabizi	ديما	ديما	ADV	ديما
191	kompiuter	arabizi	كمبيوتر	كمبيوتر	NOUN	كمبيور
192	fi	arabizi	في	في	PREP	في
193	l5edma	arabizi	الخدمة	ال+خدمة	DET+NOUN-NSUFF_FEM_SG	خدمة
194	.	arabizi	.	.	PUNC	punc
195	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
196	3andek	arabizi	عندك	عند+ك	PREP+PRON_2S	عند
197	bateriet	arabizi	بتريات	بتريات	NOUN	بتري
198	lilkamira	arabizi	للكاميرا	ل+ال+كاميرا	PREP+DET+NOUN	كاميرا
199	hethi	arabizi	هاذي	هاذي	DEM_ADJ_3FS	هاذا
200	?	arabizi	؟	؟	PUNC	punc
201	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
202	9addech	arabizi	قدّاش	قدّاش	INTERROG_ADV	قدّاش
203	elwa9t	arabizi	الوقت	ال+وقت	DET+NOUN	وقت
204	?	arabizi	؟	؟	PUNC	punc
205	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
206	ma	arabizi	ما	ما	NEG_PART	ما
207	yselch	arabizi	يسالش	يسال+ش	IV3MS-IV+NEG_PART	سال
208	t7ot	arabizi	تحطّ	تحطّ	IV2S-IV	حطّ
209	elfelija	arabizi	الفليجة	ال+فليجة	DET+NOUN-NSUFF_FEM_SG	فليجة
210	hethi	arabizi	هاذي	هاذي	DEM_ADJ_3FS	هاذا
211	fi	arabizi	في	في	PREP	في
212	lkoufer	arabizi	الكوفر	ال+كوفر	DET+NOUN	كوفر
213	?	arabizi	؟	؟	PUNC	punc
214	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
215	behi	arabizi	باهي	باهي	ADV	باهي
216	.	arabizi	.	.	PUNC	punc
217	loutil	arabizi	الوتيل	ال+وتيل	DET+NOUN	وتيل
218	cheraton	arabizi	شيرتون	شيرتون	NOUN_PROP	شيرتون
219	mawjoud	arabizi	موجود	موجود	ADJ	موجود
220	fi	arabizi	في	في	PREP	في
221	l7wez	arabizi	الحواز	ال+حواز	DET+NOUN	حواز
222	?	arabizi	؟	؟	PUNC	punc
223	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
224	5aterni	arabizi	خاطرني	خاطر+ني	CONJ+PRON_1S	خاطر
225	nrijem	arabizi	نريجم	نريجم	IV1S-IV	ريجم
226	,	arabizi	,	,	PUNC	punc
227	tawa	arabizi	توّا	توّا	ADV	توّا
228	.	arabizi	.	.	PUNC	punc
229	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
230	chta3mel	arabizi	شتعمل	ش+تعمل	INTERROG_PART+IV2S-IV	عمل
231	kif	arabizi	كيف	كيف	ADV	كيف
232	tabda	arabizi	تبدا	تبدا	IV2FS-IV	بدا
233	mitfadhi	arabizi	متفاضي	متفاضي	ADJ	متفاضي
234	?	arabizi	؟	؟	PUNC	punc
235	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
236	hethi	arabizi	هاذي	هاذي	DEM_ADJ_3FS	هاذا
237	Hdia	arabizi	هديّة	هديّة	NOUN-NSUFF_FEM_SG	هديّة
238	ls7ab	arabizi	لصاحب	ل+صاحب	PREP+NOUN	صاحب
239	.	arabizi	.	.	PUNC	punc
240	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
241	elbit	arabizi	البيت	ال+بيت	DET+NOUN	بيت
242	hethi	arabizi	هاذي	هاذي	DEM_ADJ_3FS	هاذا
243	sghira	arabizi	صغيرة	صغيرة	ADJ-NSUFF_FEM_SG	صغير
244	.	arabizi	.	.	PUNC	punc
245	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
246	taw	arabizi	تو	تو	ADV	توّا
247	nekoun	arabizi	نكون	نكون	IV1S-IV	كان
248	3la	arabizi	على	على	PREP	على
249	dhemmatek	arabizi	ذمّتك	ذمّة+ك	NOUN-NSUFF_FEM_SG+POSS_PRON_2S	ذمّة
250	wa9t	arabizi	وقت	وقت	NOUN	وقت
251	ma	arabizi	ما	ما	NEG_PART	ما
252	nekoun	arabizi	نكون	نكون	IV1S-IV	كان
253	mch	arabizi	مش	مش	NEG_PART	مش
254	machgoul	arabizi	مشغول	مشغول	ADJ	مشغول
255	barcha	arabizi	برشا	برشا	ADV	برشا
256	.	arabizi	.	.	PUNC	punc
257	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
258	jit	arabizi	جيت	جيت	PV-PVSUFF_SUBJ:1S	جا
259	m3a	arabizi	مع	مع	PREP	مع
260	s7abi	arabizi	صحابي	صحاب+ي	NOUN+POSS_PRON_1S	صاحب
261	.	arabizi	.	.	PUNC	punc
262	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
263	3andou	arabizi	عنده	عند+ه	PREP+PRON_3MS	عند
264	akther	arabizi	اكثر	اكثر	ADJ_COMP	كثير
265	men	arabizi	من	من	PREP	من
266	5amsin	arabizi	خمسين	خمسين	NOUN_NUM	خمسين
267	sne	arabizi	سنا	سنة	NOUN-NSUFF_FEM_SG	سنا
268	,	arabizi	,	,	PUNC	punc
269	3la	arabizi	على	على	PREP	على
270	ma	arabizi	ما	ما	NEG_PART	ما
271	nthunn	arabizi	نظنّ	نظنّ	IV1S-IV	ظنّ
272	.	arabizi	.	.	PUNC	punc
273	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
274	taw	arabizi	تو	تو	ADV	و
275	nchouf	arabizi	نشوف	نشوف	IV1S-IV	شاف
276	ken	arabizi	كان	كان	PV-PVSUFF_SUBJ:3MS	كان
277	tji	arabizi	تجي	تجي	IV2S-IV	جا
278	ey	arabizi	اي	اي	NOUN_QUANT	اي
279	wa7da	arabizi	وحدة	وحدة	[ADJ_NUM]PRON_3FS	واحد
280	men	arabizi	من	من	PREP	من
281	hathouma	arabizi	هاذوما	هاذوما	DEM_PRON_3P	هاذا
282	.	arabizi	.	.	PUNC	punc
283	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
284	hedha	arabizi	هاذا	هاذا	DEM_PRON_3MS	هاذا
285	ywatik	arabizi	يواتيك	يواتي+ك	IV3MS-IV+IVSUFF_DO:2S	واتى
286	bel9de	arabizi	بالقدا	ب+ال+قدا	[PREP+DET+NOUN-NSUFF_FEM_SG]ADV	قدا
287	.	arabizi	.	.	PUNC	punc
288	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
289	ya3tik	arabizi	يعطيك	يعطي+ك	IV3MS-IV+IVSUFF_DO:2S	عطى
290	essa7a	arabizi	الصحّة	ال+صحّة	DET+NOUN-NSUFF_FEM_SG	صحّة
291	3addhiefa	arabizi	عالضيافة	ع+ال+ضيافة	PREP+DET+NOUN-NSUFF_FEM_SG	ضيف
292	.	arabizi	.	.	PUNC	punc
293	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
294	aychek	arabizi	عيّشك	يعيّش+ك	[IV3MS-IV+PRON_2S]INTERJ	عيّش
295	a3tini	arabizi	اعطيني	اعطي+ني	CV2S-CV+CVSUFF_IO:1S	عطى
296	war9a	arabizi	ورقة	ورقة	NOUN-NSUFF_FEM_SG	ورقة
297	mta3	arabizi	متاع	متاع	PART	متاع
298	ta9rir	arabizi	تقرير	تقرير	NOUN	تقرير
299	la7deth	arabizi	الحادث	ال+حادث	DET+NOUN	حادث
300	.	arabizi	.	.	PUNC	punc
301	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
302	some	arabizi	سوم	سوم	NOUN	سوم
303	loutil	arabizi	الوتيل	ال+وتيل	DET+NOUN	وتيل
304	fih	arabizi	فيه	في+ه	PREP+PRON_3MS	في
305	ftour	arabizi	فطور	فطور	NOUN	فطور
306	esbe7	arabizi	الصباح	ال+صباح	DET+NOUN	صباح
307	?	arabizi	؟	؟	PUNC	punc
308	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
309	ama	arabizi	اما	اما	CONJ	اما
310	aham	arabizi	اهم	اهم	ADJ_COMP	هامّ
311	likoum	arabizi	لكم	ل+كم	PREP+PRON_2P	ل
312	entouma	arabizi	انتوما	انتوما	PRON_2P	هو
313	elyabaniin	arabizi	اليابانيين	ال+يابانيين	DET+NOUN-NSUFF_MASC_PL	يابانيّ
314	,	arabizi	,	,	PUNC	punc
315	rass	arabizi	راس	راس	NOUN	راس
316	l3am	arabizi	العام	ال+عام	DET+NOUN	عام
317	walla	arabizi	ولّا	ولّا	CONJ	ولّا
318	noel	arabizi	نوال	نوال	NOUN_PROP	نوال
319	?	arabizi	؟	؟	PUNC	PUNC
320	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
321	enajem	arabizi	نجّم	نجّم	IV1S-IV	نجّم
322	naa3mll	arabizi	نعمل	نعمل	IV1S-IV	عمل
323	tsawwer	arabizi	تصاوّر	تصاوّر	NOUN	تصويرة
324	?	arabizi	؟	؟	PUNC	punc
325	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
326	mnech	arabizi	مناش	ما+نا+ش	NEG_PART+PRON_1P+NEG_PART	هو
327	Bech	arabizi	باش	باش	FUT_PART	باش
328	nhezzou	arabizi	نهزّوا	نهزّوا	IV1P-IV-IVSUFF_SUBJ:P	هزّ
329	7atta	arabizi	حتّى	حتّى	ADV	حتّى
330	kadou	arabizi	كادو	كادو	NOUN	كادو
331	fi	arabizi	في	في	PREP	في
332	leste9bel	arabizi	الاستقبال	ال+استقبال	DET+NOUN	استقبال
333	.	arabizi	.	.	PUNC	punc
334	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
335	sbe7	arabizi	صباح	صباح	[NOUN]INTERJ	صباح
336	5ir	arabizi	الخير	ال+خير	[DET+NOUN]INTERJ	خير
337	,	arabizi	,	,	PUNC	punc
338	y3aychek	arabizi	يعيّشك	يعيّش+ك	[IV3MS-IV+PRON_2S]INTERJ	عيّش
339	3la	arabizi	على	على	PREP	على
340	sabrek	arabizi	صبرك	صبر+ك	NOUN+POSS_PRON_2S	صبر
341	.	arabizi	.	.	PUNC	punc
342	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
343	nkallem	arabizi	نكلّم	نكلّم	IV1S-IV	كلّم
344	fik	arabizi	فيك	في+ك	PREP+PRON_2S	في
345	men	arabizi	من	من	PREP	من
346	taksifoun	arabizi	تاكسيفون	تاكسيفون	NOUN	تاكسيفون
347	men	arabizi	من	من	PREP	من
348	maysiz	arabizi	مايسيز	مايسيز	NOUN_PROP	مايسيز
349	.	arabizi	.	.	PUNC	punc
350	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
351	Ya5i	arabizi	ياخي	يا+اخ+ي	VOC_PART+NOUN+POSS_PRON_1S	ياخي
352	elma	arabizi	الماء	ال+ماء	DET+NOUN	ماء
353	sali7	arabizi	صالح	صالح	ADJ	صالح
354	lelchreb	arabizi	للشرب	ل+ال+شرب	PREP+DET+NOUN	شرب
355	?	arabizi	؟	؟	PUNC	punc
356	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
357	3andek	arabizi	عندك	عند+ك	PREP+PRON_2S	عند
358	awra9	arabizi	اوراق	اوراق	NOUN	ورقة
359	yebenya	arabizi	يابانية	يابانية	ADJ-NSUFF_FEM_SG	ياباني
360	?	arabizi	؟	؟	PUNC	punc
361	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
362	necchel	arabizi	نشّال	نشّال	IV1S-IV	نشّال
363	sarek	arabizi	سرق	سرق	NOUN	سرق
364	stouch	arabizi	صطوش	صطوش	NOUN	صطوش
365	awra9i	arabizi	اوراقي	اوراق+ي	NOUN+POSS_PRON_1S	ورقة
366	fi	arabizi	في	في	PREP	في
367	etren	arabizi	التران	ال+تران	DET+NOUN	تران
368	.	arabizi	.	.	PUNC	punc
369	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
370	machgoul	arabizi	مشغول	مشغول	ADJ	مشغول
371	elmoukalmet	arabizi	المكالمات	ال+مكالمات	DET+NOUN-NSUFF_FEM_PL	مكالم
372	,	arabizi	,	,	PUNC	punc
373	3addili	arabizi	عدّي لي	عدّي+ل+ي	CV2S-CV+[PREP+PRON_1S]CVSUFF_IO:1S	عدّى
374	markaz	arabizi	مركز	مركز	NOUN	مركز
375	letfa2	arabizi	الاطفاء	ال+اطفاء	DET+NOUN	اطفاء
376	.	arabizi	.	.	PUNC	punc
377	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
378	enajem	arabizi	نجّم	نجّم	IV1S-IV	نجّم
379	n5alles	arabizi	نخلّص	نخلّص	IV1S-IV	خلّص
380	bchak	arabizi	بشاك	ب+شاك	PREP+NOUN	شاك
381	sya7i	arabizi	سياحي	سياحي	ADJ	سياحي
382	?	arabizi	؟	؟	PUNC	punc
383	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
384	chiri	arabizi	شيري	شيري	NOUN_PROP	شيري
385	jaf	arabizi	جاف	جاف	ADJ	جاف
386	,	arabizi	,	,	PUNC	punc
387	y3aychek	arabizi	يعيّشك	يعيّش+ك	[IV3MS-IV+PRON_2S]INTERJ	عيّش
388	.	arabizi	.	.	PUNC	punc
389	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
390	mouhamed	arabizi	محمد	محمد	NOUN_PROP	محمد
391	,	arabizi	,	,	PUNC	punc
392	a9ef	arabizi	اقف	اقف	CV2S-CV	وقف
393	y3aychek	arabizi	يعيّشك	يعيّش+ك	[IV3MS-IV+PRON_2S]INTERJ	عيّش
394	.	arabizi	.	.	PUNC	punc
395	miselek	arabizi	ما يسالك	ما+يسال+ك	NEG_PART+IV3MS-IV+IVSUFF_DO:2S	سال
396	nwa99fek	arabizi	نوقّفك	نوقّف+ك	IV1S-IV+IVSUFF_DO:2S	وقّف
397	houni	arabizi	هوني	هوني	ADV	هنا
398	?	arabizi	؟	؟	PUNC	PUNC
399	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
400	anahoum	arabizi	اناهم	انا+هم	INTERROG_PRON+PRON_3P	انا
401	b6a9at	arabizi	بطاقات	بطاقات	NOUN-NSUFF_FEM_PL	بطاقة
402	elkridi	arabizi	الكريدي	ال+كريدي	DET+NOUN	كريدي
403	li	arabizi	اللي	اللي	REL_PRON	اللي
404	t9ablouhom	arabizi	تقبلوهم	تقبلوا+هم	IV2P-IV-IVSUFF_SUBJ:P+IVSUFF_DO:3P	قبل
405	?	arabizi	؟	؟	PUNC	punc
406	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
407	en7eb	arabizi	نحبّ	نحبّ	IV1S-IV	حبّ
408	men	arabizi	من	من	PREP	من
409	essak	arabizi	الصاك	ال+صاك	DET+NOUN	صاك
410	la7mra	arabizi	الحمرة	ال+حمرة	DET+ADJ-NSUFF_FEM_SG	حمر
411	mta3	arabizi	متاع	متاع	PART	متاع
412	kili	arabizi	كيلي	كيلي	NOUN_PROP	كيلي
413	3andha	arabizi	عندها	عند+ها	PREP+PRON_3FS	عند
414	nfass	arabizi	نفس	نفس	ADJ	نفس
415	lmwassefet	arabizi	المواصفات	ال+مواصفات	DET+NOUN-NSUFF_FEM_PL	مواصفة
